,Latitude,Longitude,CMPLNT_FR_TM,BORO_NM
5462640,40.661821983,-73.996479956,9,BROOKLYN
5463518,40.811112268,-73.906344446,2,BRONX
5463834,40.658196944,-73.958538808,5,BROOKLYN
5465657,40.574825477,-73.99092661,23,BROOKLYN
5466097,40.725980641,-73.990801407,14,MANHATTAN
5474949,40.796341237,-73.941199816,16,MANHATTAN
5476139,40.633486765,-74.163427185,18,STATEN ISLAND
5476140,40.633486765,-74.163427185,18,STATEN ISLAND
5476209,40.67432526,-73.888388621,17,BROOKLYN
5477953,40.812190348,-73.924206908,7,BRONX
5483073,40.673567652,-73.807384888,1,QUEENS
5485340,40.823180032,-73.866536043,15,BRONX
5486324,40.802620306,-73.951087574,20,MANHATTAN
5486379,40.766406832,-73.968377423,19,MANHATTAN
5489327,40.631766312,-73.887299705,14,BROOKLYN
5490220,40.880398548,-73.863853651,22,BRONX
5490271,40.64480152,-74.005269715,20,BROOKLYN
5491754,40.586104414,-74.162630773,12,STATEN ISLAND
5492675,40.6928309,-73.758149574,20,QUEENS
5494010,40.671657217,-73.958198788,23,BROOKLYN
5494836,40.590091841,-74.094684252,2,STATEN ISLAND
5495495,40.851111636,-73.935255912,21,MANHATTAN
5496250,40.860928316,-73.920308429,4,MANHATTAN
5499685,40.699693597,-73.766488035,19,QUEENS
5499885,40.768940729,-73.911443572,14,QUEENS
5501450,40.745222604,-73.91045017,1,QUEENS
5502521,40.820979933,-73.849642388,6,BRONX
5502652,40.600205912,-74.121501323,0,STATEN ISLAND
5505911,40.853587401,-73.900591356,20,BRONX
5512103,40.667629873,-73.896254478,17,BROOKLYN
5515811,40.810328321,-73.91476613,16,BRONX
5516902,40.608883423,-74.083157189,22,STATEN ISLAND
5521978,40.636744136,-74.134282972,15,STATEN ISLAND
5523092,40.685077953,-73.927993087,19,BROOKLYN
5524106,40.637483796,-74.00749944,21,BROOKLYN
5524193,40.65149337,-73.924533616,18,BROOKLYN
5526049,40.642006612,-73.9017029,17,BROOKLYN
5526474,40.817503461,-73.941975939,3,MANHATTAN
5528206,40.662692805,-73.88830716,21,BROOKLYN
5529260,40.608391809,-74.14661153,8,STATEN ISLAND
5529781,40.608391809,-74.14661153,8,STATEN ISLAND
5530009,40.608391809,-74.14661153,8,STATEN ISLAND
5532624,40.853064489,-73.868944957,2,BRONX
5535538,40.750331537,-73.792130675,21,QUEENS
5535618,40.827668623,-73.925435892,19,BRONX
5547233,40.706860328,-73.948196631,16,BROOKLYN
5547289,40.803393591,-73.938145012,23,MANHATTAN
5547859,40.596213982,-73.764700204,10,QUEENS
5551006,40.811393119,-73.922314872,16,BRONX
5551524,40.644590276,-74.001900465,19,BROOKLYN
5552699,40.684792115,-73.878556569,9,BROOKLYN
5553484,40.857922634,-73.892895732,20,BRONX
5554466,40.676231908,-74.006944997,22,BROOKLYN
5558574,40.576124128,-73.99982505,21,BROOKLYN
5560066,40.661079525,-73.894822924,15,BROOKLYN
5560572,40.606404746,-74.120479003,0,STATEN ISLAND
5562837,40.548991392,-74.230271459,14,STATEN ISLAND
5564159,40.66475956,-73.894042144,14,BROOKLYN
5566757,40.679907552,-73.920784329,13,BROOKLYN
5566910,40.68190669,-73.89458817,9,BROOKLYN
5566967,40.676487297,-73.837065184,7,QUEENS
5568266,40.683276253,-73.930623478,3,BROOKLYN
5568784,40.66156215,-73.925945955,23,BROOKLYN
5573574,40.674601815,-73.938614149,8,BROOKLYN
5575826,40.873601668,-73.845603792,11,BRONX
5575942,40.883927913,-73.901323524,4,BRONX
5578703,40.687140512,-73.856146091,22,QUEENS
